"date","symbol","exchange","price_usd","daily_open_usd","daily_high_usd","daily_low_usd","volume","change_percent","date_time_utc","pk_dummy","pkey"
"2016-11-12","DASH","Poloniex","9.70","9.67","9.93","9.55",0.13,0.31,"2016-11-12 00:00:00","2016-11-12 00","2016-11-12 00DASH"
"2016-11-11","DASH","Poloniex","9.67","9.53","9.79","9.46",0.11,1.47,"2016-11-11 00:00:00","2016-11-11 00","2016-11-11 00DASH"
"2016-11-10","DASH","Poloniex","9.53","9.71","9.90","9.53",0.11,-1.85,"2016-11-10 00:00:00","2016-11-10 00","2016-11-10 00DASH"
"2016-11-09","DASH","Poloniex","9.71","9.74","10.10","9.40",0.78,-0.31,"2016-11-09 00:00:00","2016-11-09 00","2016-11-09 00DASH"
"2016-11-08","DASH","Poloniex","9.74","9.99","10.54","9.73",2.46,-2.5,"2016-11-08 00:00:00","2016-11-08 00","2016-11-08 00DASH"
"2016-11-07","DASH","Poloniex","9.99","9.37","9.99","9.28",0.48,6.62,"2016-11-07 00:00:00","2016-11-07 00","2016-11-07 00DASH"
"2016-11-06","DASH","Poloniex","9.37","9.22","9.60","9.19",0.71,1.63,"2016-11-06 00:00:00","2016-11-06 00","2016-11-06 00DASH"
"2016-11-05","DASH","Poloniex","9.22","9.21","9.40","9.09",0.13,0.11,"2016-11-05 00:00:00","2016-11-05 00","2016-11-05 00DASH"
"2016-11-04","DASH","Poloniex","9.21","8.97","9.39","8.73",0.39,2.68,"2016-11-04 00:00:00","2016-11-04 00","2016-11-04 00DASH"
"2016-11-03","DASH","Poloniex","8.97","8.91","9.50","8.85",0.79,0.67,"2016-11-03 00:00:00","2016-11-03 00","2016-11-03 00DASH"
"2016-11-02","DASH","Poloniex","8.91","9.14","9.49","8.77",0.85,-2.52,"2016-11-02 00:00:00","2016-11-02 00","2016-11-02 00DASH"
"2016-11-01","DASH","Poloniex","9.14","9.36","9.40","8.64",1.45,-2.35,"2016-11-01 00:00:00","2016-11-01 00","2016-11-01 00DASH"
"2016-10-31","DASH","Poloniex","9.36","9.67","9.90","9.00",0.98,-3.21,"2016-10-31 00:00:00","2016-10-31 00","2016-10-31 00DASH"
"2016-10-30","DASH","Poloniex","9.67","8.69","9.77","8.63",0.53,11.28,"2016-10-30 00:00:00","2016-10-30 00","2016-10-30 00DASH"
"2016-10-29","DASH","Poloniex","8.69","9.08","9.55","8.00",1.46,-4.3,"2016-10-29 00:00:00","2016-10-29 00","2016-10-29 00DASH"
"2016-10-28","DASH","Poloniex","9.08","9.68","9.77","9.07",0.25,-6.2,"2016-10-28 00:00:00","2016-10-28 00","2016-10-28 00DASH"
"2016-10-27","DASH","Poloniex","9.68","9.24","9.95","8.89",0.92,4.76,"2016-10-27 00:00:00","2016-10-27 00","2016-10-27 00DASH"
"2016-10-26","DASH","Poloniex","9.24","9.31","9.63","8.90",1.12,-0.75,"2016-10-26 00:00:00","2016-10-26 00","2016-10-26 00DASH"
"2016-10-25","DASH","Poloniex","9.31","9.98","10.08","9.10",0.54,-6.71,"2016-10-25 00:00:00","2016-10-25 00","2016-10-25 00DASH"
"2016-10-24","DASH","Poloniex","9.98","9.99","10.22","9.80",0.62,-0.1,"2016-10-24 00:00:00","2016-10-24 00","2016-10-24 00DASH"
"2016-10-23","DASH","Poloniex","9.99","10.37","10.65","9.99",1.86,-3.66,"2016-10-23 00:00:00","2016-10-23 00","2016-10-23 00DASH"
"2016-10-22","DASH","Poloniex","10.37","10.69","10.90","10.31",0.6,-2.99,"2016-10-22 00:00:00","2016-10-22 00","2016-10-22 00DASH"
"2016-10-21","DASH","Poloniex","10.69","10.62","10.92","10.50",0.26,0.66,"2016-10-21 00:00:00","2016-10-21 00","2016-10-21 00DASH"
"2016-10-20","DASH","Poloniex","10.62","10.26","10.83","10.26",0.16,3.51,"2016-10-20 00:00:00","2016-10-20 00","2016-10-20 00DASH"
"2016-10-19","DASH","Poloniex","10.26","10.14","10.50","10.11",0.11,1.18,"2016-10-19 00:00:00","2016-10-19 00","2016-10-19 00DASH"
"2016-10-18","DASH","Poloniex","10.14","10.63","10.70","9.94",0.44,-4.61,"2016-10-18 00:00:00","2016-10-18 00","2016-10-18 00DASH"
"2016-10-17","DASH","Poloniex","10.63","11.00","11.00","10.52",0.24,-3.36,"2016-10-17 00:00:00","2016-10-17 00","2016-10-17 00DASH"
"2016-10-16","DASH","Poloniex","11.00","11.20","11.40","10.85",0.97,-1.79,"2016-10-16 00:00:00","2016-10-16 00","2016-10-16 00DASH"
"2016-10-15","DASH","Poloniex","11.20","11.56","11.71","11.03",0.44,-3.11,"2016-10-15 00:00:00","2016-10-15 00","2016-10-15 00DASH"
"2016-10-14","DASH","Poloniex","11.56","11.49","11.74","11.42",0.21,0.61,"2016-10-14 00:00:00","2016-10-14 00","2016-10-14 00DASH"
