"date","symbol","exchange","price_usd","daily_open_usd","daily_high_usd","daily_low_usd","volume","change_percent","date_time_utc","pk_dummy","pkey"
"2019-11-16","DASH","HitBTC",6791,6799,6814,6726,862,-0.13,"2019-11-16 00:00:00","2019-11-16 00","2019-11-16 00DASH"
"2019-11-15","DASH","HitBTC",6799,6874,6974,6659,1048,-1.08,"2019-11-15 00:00:00","2019-11-15 00","2019-11-15 00DASH"
"2019-11-14","DASH","HitBTC",6874,6973,6985,6826,799,-1.41,"2019-11-14 00:00:00","2019-11-14 00","2019-11-14 00DASH"
"2019-11-13","DASH","HitBTC",6972,7031,7083,6950,950,-0.84,"2019-11-13 00:00:00","2019-11-13 00","2019-11-13 00DASH"
"2019-11-12","DASH","HitBTC",7031,7012,7074,6884,831,0.27,"2019-11-12 00:00:00","2019-11-12 00","2019-11-12 00DASH"
"2019-11-11","DASH","HitBTC",7013,7133,7237,6940,941,-1.68,"2019-11-11 00:00:00","2019-11-11 00","2019-11-11 00DASH"
"2019-11-10","DASH","HitBTC",7133,6955,7191,6915,1028,2.52,"2019-11-10 00:00:00","2019-11-10 00","2019-11-10 00DASH"
"2019-11-09","DASH","HitBTC",6957,6925,7037,6907,538,0.39,"2019-11-09 00:00:00","2019-11-09 00","2019-11-09 00DASH"
"2019-11-08","DASH","HitBTC",6930,7217,7264,6781,1026,-3.95,"2019-11-08 00:00:00","2019-11-08 00","2019-11-08 00DASH"
"2019-11-07","DASH","HitBTC",7216,7406,7455,7148,820,-2.53,"2019-11-07 00:00:00","2019-11-07 00","2019-11-07 00DASH"
"2019-11-06","DASH","HitBTC",7403,7431,7476,7283,856,-0.37,"2019-11-06 00:00:00","2019-11-06 00","2019-11-06 00DASH"
"2019-11-05","DASH","HitBTC",7431,7263,7462,7146,880,2.32,"2019-11-05 00:00:00","2019-11-05 00","2019-11-05 00DASH"
"2019-11-04","DASH","HitBTC",7262,7111,7339,7081,749,2.11,"2019-11-04 00:00:00","2019-11-04 00","2019-11-04 00DASH"
"2019-11-03","DASH","HitBTC",7112,7212,7267,7035,643,-1.35,"2019-11-03 00:00:00","2019-11-03 00","2019-11-03 00DASH"
"2019-11-02","DASH","HitBTC",7210,7180,7254,7140,1038,0.42,"2019-11-02 00:00:00","2019-11-02 00","2019-11-02 00DASH"
"2019-11-01","DASH","HitBTC",7179,7147,7212,7018,1275,0.37,"2019-11-01 00:00:00","2019-11-01 00","2019-11-01 00DASH"
"2019-10-31","DASH","HitBTC",7153,7200,7263,6986,1666,-0.66,"2019-10-31 00:00:00","2019-10-31 00","2019-10-31 00DASH"
"2019-10-30","DASH","HitBTC",7200,7300,7472,7107,2268,-1.34,"2019-10-30 00:00:00","2019-10-30 00","2019-10-30 00DASH"
"2019-10-29","DASH","HitBTC",7298,7162,7626,7134,3116,1.9,"2019-10-29 00:00:00","2019-10-29 00","2019-10-29 00DASH"
"2019-10-28","DASH","HitBTC",7162,7180,7673,7162,2481,-0.26,"2019-10-28 00:00:00","2019-10-28 00","2019-10-28 00DASH"
"2019-10-27","DASH","HitBTC",7180,7047,7407,6904,3682,1.87,"2019-10-27 00:00:00","2019-10-27 00","2019-10-27 00DASH"
"2019-10-26","DASH","HitBTC",7048,7039,7412,6739,4723,0.15,"2019-10-26 00:00:00","2019-10-26 00","2019-10-26 00DASH"
"2019-10-25","DASH","HitBTC",7037,6231,7045,6230,1818,12.94,"2019-10-25 00:00:00","2019-10-25 00","2019-10-25 00DASH"
"2019-10-24","DASH","HitBTC",6231,6273,6307,6122,899,-0.7,"2019-10-24 00:00:00","2019-10-24 00","2019-10-24 00DASH"
"2019-10-23","DASH","HitBTC",6275,6718,6739,6155,1239,-6.59,"2019-10-23 00:00:00","2019-10-23 00","2019-10-23 00DASH"
"2019-10-22","DASH","HitBTC",6717,6865,6946,6678,927,-2.15,"2019-10-22 00:00:00","2019-10-22 00","2019-10-22 00DASH"
"2019-10-21","DASH","HitBTC",6865,6918,6982,6798,760,-0.71,"2019-10-21 00:00:00","2019-10-21 00","2019-10-21 00DASH"
"2019-10-20","DASH","HitBTC",6914,6743,6989,6694,938,2.55,"2019-10-20 00:00:00","2019-10-20 00","2019-10-20 00DASH"
"2019-10-19","DASH","HitBTC",6742,6790,6849,6710,647,-0.71,"2019-10-19 00:00:00","2019-10-19 00","2019-10-19 00DASH"
