"date","symbol","active_addresses","block_count","block_size_block_bytes","block_mean_size_bytes","cap_mrkt_cur","fees_daily_mean_native_units","fees_daily_mean_usd","fees_daily_median_native_units","fees_daily_median_usd","fees_daily_total_native_units","fees_daily_total_usd","supply_issued_daily","annual_inflation_rate","supply_issued_usd_equivalent_scheduled_daily","supply_issued_native_units_total","supply_issued_usd_equivalent_total","adjusted_nvt","adjusted_nvt_90_day_ma","price_btc","price_usd","roi_1_year","roi_30_days","supply_current","transactions_count_daily","transactions_successful_transfers_daily_count","transactions_native_units_transferred_adjusted","transactions_usd_equivalent_adjusted","transactions_mean_native_units_per_transaction","transactions_mean_usd_equivalent_per_transaction","transactions_median_native_units_per_transaction","transactions_median_usd_equivalent_per_transaction","transactions_sum_native_units_transferred_daily","transactions_sum_usd_equivalent_units_transferred_daily","volatility_180_days","volatility_60_days","volatility_30_days","date_time_utc","pk_dummy","pkey"
"2017-11-08","ADA",790,4320,3022226,699.58935185,NA,"0.16283501123595448",NA,0.171246,NA,57.969264,NA,0,0,NA,0,NA,42.01602031,NA,NA,NA,NA,NA,"26501881399.660042",356,681,"630756582.985248",NA,"3033702.68986674",NA,"7628611.825863",NA,"2065951531.799247",NA,NA,NA,NA,"2017-11-08 00:00:01","2017-11-08 00","2017-11-08 00ADA"
"2017-11-09","ADA",1333,4320,2981236,690.10092593,NA,"0.16204843367346838",NA,0.171246,NA,95.284479,NA,0,0,NA,0,NA,29.64972724,NA,NA,NA,NA,NA,"26559885298.375563",588,1128,"895788520.48158",NA,"2996917.45274455",NA,"7319969.296792",NA,"3380522886.695851",NA,NA,NA,NA,"2017-11-09 00:00:01","2017-11-09 00","2017-11-09 00ADA"
"2017-11-10","ADA",1160,4320,3075419,711.9025463,NA,"0.16125050457038315",NA,0.171246,NA,88.204026,NA,0,0,NA,0,NA,7.98937797,NA,NA,NA,NA,NA,"26618964448.171537",547,1041,"3331794359.243586",NA,"5481539.72810713",NA,"7197013.827847",NA,"5706282856.959518",NA,NA,NA,NA,"2017-11-10 00:00:01","2017-11-10 00","2017-11-10 00ADA"
"2017-11-11","ADA",737,4320,2875947,665.72847222,NA,"0.15720960179640692",NA,0.171246,NA,52.508007,NA,0,0,NA,0,NA,63.4426922,NA,NA,NA,NA,NA,"26653640482.66353",334,637,"420121523.180304",NA,"2588810.93688558",NA,"6075209.918499",NA,"1649072566.796114",NA,NA,NA,NA,"2017-11-11 00:00:01","2017-11-11 00","2017-11-11 00ADA"
"2017-11-12","ADA",800,4320,3046229,705.14560185,NA,"0.15543948477157304",NA,0.171246,NA,61.243157,NA,0,0,NA,0,NA,69.45595428,NA,NA,NA,NA,NA,"26707312627.420373",394,734,"384521570.588799",NA,"6119977.95482487",NA,"8201235.492274",NA,"4492063818.841453",NA,NA,NA,NA,"2017-11-12 00:00:01","2017-11-12 00","2017-11-12 00ADA"
"2017-11-13","ADA",813,4320,3026948,700.68240741,NA,"0.16285137859007762",NA,0.171246,NA,62.372078,NA,0,0,NA,0,NA,10.073925,NA,NA,NA,NA,NA,"26730392038.048295",383,735,"2653423768.380469",NA,"19921593.97751378",NA,"7011201.721245",NA,"14642371573.472629",NA,NA,NA,NA,"2017-11-13 00:00:01","2017-11-13 00","2017-11-13 00ADA"
"2017-11-14","ADA",986,4320,2919661,675.8474537,NA,"0.16033930803571364",NA,0.171246,NA,71.83201,NA,0,0,NA,0,NA,38.50113335,NA,NA,NA,NA,NA,"26750872336.216285",448,851,"694807399.319925",NA,"2114912.47572765",NA,"2823518.120661",NA,"1799790516.844234",NA,NA,NA,NA,"2017-11-14 00:00:01","2017-11-14 00","2017-11-14 00ADA"
"2017-11-15","ADA",1000,4320,3040398,703.79583333,NA,"0.16058604751131145",NA,0.171246,NA,70.979033,NA,0,0,NA,0,NA,47.11764547,NA,NA,NA,NA,NA,"26782504663.237252",442,845,"568417721.144906",NA,"2344761.71005882",NA,"6549597.521452",NA,"1981323644.999703",NA,NA,NA,NA,"2017-11-15 00:00:01","2017-11-15 00","2017-11-15 00ADA"
"2017-11-16","ADA",968,4320,2918307,675.53402778,NA,"0.1624693024830693",NA,0.171246,NA,71.973901,NA,0,0,NA,0,NA,30.53327993,NA,NA,NA,NA,NA,"26806084807.263351",443,858,"877930077.213669",NA,"2710681.13169647",NA,"6285948.18704",NA,"2325764410.995567",NA,NA,NA,NA,"2017-11-16 00:00:01","2017-11-16 00","2017-11-16 00ADA"
"2017-11-17","ADA",817,4320,3037527,703.13125,NA,"0.1641885081081076",NA,0.171246,NA,60.749748,NA,0,0,NA,0,NA,10.38453497,NA,NA,NA,NA,NA,"26830202345.513603",370,718,"2583669122.843712",NA,"5905128.13953494",NA,"6185764.686442",NA,"4239882004.18609",NA,NA,NA,NA,"2017-11-17 00:00:01","2017-11-17 00","2017-11-17 00ADA"
