"Name","Price","Spread","Depth","ExchangeBidDepth","ExchangeAskDepth","Exchange","Date","DateTime","pkDummy"
"Grin",0.45888,1.44,22544,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:37","2020-04-21 18"
"Bytecoin",0.00021767,1.22,21596,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:37","2020-04-21 18"
"EOS",2.5243,0.53,42491,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:18","2020-04-21 18"
"Zcash",42.055,0.5,40298,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:18","2020-04-21 18"
"NEO",7.237,0.8,28993,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:18","2020-04-21 18"
"TRON",0.012486,0.75,28351,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:19","2020-04-21 18"
"XRP",0.18335,1.04,28273,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:19","2020-04-21 18"
"BitcoinHD",5.8447,2.28,25444,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:21","2020-04-21 18"
"Litecoin",40.55,0.44,20041,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:22","2020-04-21 18"
"OKB",4.461,1.06,19054,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:22","2020-04-21 18"
"Stellar",0.050816,0.29,19038,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:22","2020-04-21 18"
"VeChain",0.0036705,0.41,14267,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:23","2020-04-21 18"
"Crypto.com Coin",0.04795,3.13,11304,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:23","2020-04-21 18"
"Huobi Token",3.6872,0.57,10323,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:23","2020-04-21 18"
"Ethereum Classic",5.1955,0.49,9971,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:23","2020-04-21 18"
"Basic Attention Token",0.1578,0.76,8717,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:23","2020-04-21 18"
"Waves",0.9639,0.44,6286,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:24","2020-04-21 18"
"Gemini Dollar",0.9933,1.03,5176,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:24","2020-04-21 18"
"BitMart Token",0.01065,0.94,2618,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:24","2020-04-21 18"
"Cosmos",2.2721,0.92,2260,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:24","2020-04-21 18"
"Holo",0.000312,7.69,2066,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:25","2020-04-21 18"
"Lina",0.013071,3.5,1835,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:25","2020-04-21 18"
"Matic Network",0.011955,5.63,811.8,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:26","2020-04-21 18"
"WaykiChain",0.1405,0.43,624.6,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:27","2020-04-21 18"
"Algorand",0.1778,2.36,298.3,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:27","2020-04-21 18"
"Binance Coin",15.13,4.76,213.4,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:27","2020-04-21 18"
"BitTorent Token",0.0002175,6.9,161,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:27","2020-04-21 18"
"Boom",0.0013255,15.77,135.6,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:28","2020-04-21 18"
"Baer Chain",0.615,4.88,84.52,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:01:28","2020-04-21 18"
"Algorand",0.18885,10.75,363.8,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:45","2020-04-21 18"
"IRISnet",0.010181,6.27,208.2,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:50","2020-04-21 18"
"BUMO",0.00315,3.17,76.97,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:02:05","2020-04-21 18"
"Verasity",0.0003884,0.26,9756,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:27","2020-04-21 18"
"nUSD",0.99814,0.51,8994,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:29","2020-04-21 18"
"sUSD",0.98311,0.71,8819,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:29","2020-04-21 18"
"Algorand",0.1777,0.56,7095,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:30","2020-04-21 18"
"Swipe",0.60205,6.63,6930,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:30","2020-04-21 18"
"Ontology",0.39489,0.31,6487,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:31","2020-04-21 18"
"Grin",0.46244,0.73,6236,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:31","2020-04-21 18"
"Synthetix Network Token",0.71142,2.37,5930,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:31","2020-04-21 18"
"Telcoin",0.00014876,1.67,4952,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:31","2020-04-21 18"
"Electroneum",0.0022451,0.59,4487,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:32","2020-04-21 18"
"VeChain",0.0036725,0.32,3765,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:32","2020-04-21 18"
"GoChain",0.006401,0.97,3552,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:32","2020-04-21 18"
"DigitalBits",0.020086,0.9,3524,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:32","2020-04-21 18"
"Trias",0.00065895,2.72,3457,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:32","2020-04-21 18"
"BitTorent Token",0.00021786,0.5,3365,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:33","2020-04-21 18"
"ARPA Chain",0.0084235,0.91,3364,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:33","2020-04-21 18"
"Nano",0.53755,0.53,2621,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:35","2020-04-21 18"
"ARCS",0.38533,0.45,2406,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:35","2020-04-21 18"
"ARPA Chain",0.0083995,1.49,2334,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:35","2020-04-21 18"
"The Forbidden Forest",0.075532,1.16,2304,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:35","2020-04-21 18"
"V Systems",0.023155,1.17,2203,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:35","2020-04-21 18"
"IoT Chain",0.078326,6.59,2067,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:36","2020-04-21 18"
"Newscrypto",0.025465,0.63,2063,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:36","2020-04-21 18"
"Harmony",0.002161,0.83,1865,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:36","2020-04-21 18"
"WINk",0.00008435,0.64,1821,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:36","2020-04-21 18"
