"Date","Symbol","Open","High","Low","Close","VolumeUSDT","CloseLag1Hour","CloseLag12Hour","CloseLag24Hour","CloseLag3Day","CloseLag7Day","CloseLag14Day","CloseLag30Day","CloseLag90Day","CloseLag120Day","Volatility","Target24HourClose","DateTime"
2018-06-06,"ETH",610.83,611.77,608,608.4,1363887.42,605.09,609.06,584.72,620.99,567.31,619.6,711.8,748.18,725,0.620065789473681,608.25,"2018-06-06 13:00:00"
2018-06-06,"ETH",608.4,610.16,607.42,607.81,866570.84,608.4,607.17,585.9,622.99,553.5,616.35,718.28,740.78,728.33,0.451088209146885,606.32,"2018-06-06 14:00:00"
2018-06-06,"ETH",607.81,612.38,606,611.31,1608205.83,607.81,606.11,600.12,623.01,548.78,598.63,729.84,749.7,741.81,1.05280528052805,605.9,"2018-06-06 15:00:00"
2018-06-06,"ETH",611.31,611.43,593.4,596.11,4702722.28,611.31,601.48,606.37,617.95,544.29,587.01,732.88,718.97,719.99,3.03842264914054,611,"2018-06-06 16:00:00"
2018-06-06,"ETH",596.11,598.5,594.82,596.98,1898370.02,596.11,605.31,609.94,618,549.4,569.28,737.76,705.97,705,0.618674557008835,607.86,"2018-06-06 17:00:00"
2018-06-06,"ETH",596.98,598,593.52,597.23,1212710.47,596.98,609,611.44,611.79,547.24,579.05,746.03,710.46,720.22,0.754818708720855,607.25,"2018-06-06 18:00:00"
2018-06-06,"ETH",597.23,599.46,596.58,598.26,792019.89,597.23,606.72,607.24,616.77,549,591.46,758,711,754.34,0.482751684602232,606.52,"2018-06-06 19:00:00"
2018-06-06,"ETH",598.26,605.93,594.23,604.71,1685829.07,598.26,603.65,609.26,620.87,549.84,586.99,761.27,707,758.81,1.96893458761758,603.5,"2018-06-06 20:00:00"
2018-06-06,"ETH",604.71,610,602.67,607.08,2792928.57,604.71,601.01,603.98,619.46,553.81,596.78,751.42,700.18,789.11,1.21625433487647,602.49,"2018-06-06 21:00:00"
2018-06-06,"ETH",607.08,609.96,603.42,606.73,1082924.57,607.08,604.5,611.17,618.22,552,580.64,740.88,689.27,771.42,1.08382221338373,602.68,"2018-06-06 22:00:00"
2018-06-06,"ETH",606.73,608,604.22,607.4,845549.24,606.73,606.01,609.05,619.66,557.19,577.19,752.49,695.46,779.25,0.625599947039153,605.16,"2018-06-06 23:00:00"
2018-06-06,"ETH",606.01,612.67,603.5,610.83,1849664.18,607.4,605.09,588.11,620.94,569.38,626.66,731.26,740.1,660.26,1.51946975973487,609.38,"2018-06-07 00:00:00"
2018-06-07,"ETH",615.15,618,610.8,614.59,2658255.62,610.83,608.4,609.06,620.5,556.24,592.3,770.5,681.49,768.94,1.17878192534382,606.21,"2018-06-07 01:00:00"
2018-06-07,"ETH",614.59,616.54,612.4,612.69,1826721.14,614.59,607.81,607.17,615.16,559.84,589.16,768.97,673.01,728,0.67602873938602,605.37,"2018-06-07 02:00:00"
2018-06-07,"ETH",612.69,615.69,611.34,614.73,1228793.36,612.69,611.31,606.11,618.3,562.61,595.92,771.5,677.93,721.82,0.711551673373249,601.25,"2018-06-07 03:00:00"
2018-06-07,"ETH",614.73,615.69,610.1,611.45,954957.89,614.73,596.11,601.48,618.97,570.56,610.01,767,656,746,0.916243238813314,602.63,"2018-06-07 04:00:00"
2018-06-07,"ETH",611.45,613.2,608.48,610.47,1567984.82,611.45,596.98,605.31,615.31,571.92,604.46,752.69,648.7,748.35,0.775703392058905,604,"2018-06-07 05:00:00"
2018-06-07,"ETH",610.47,612.13,605.08,607.33,2126673.63,610.47,597.23,609,605.97,575,599.29,755,674.3,748.55,1.16513518873537,606.31,"2018-06-07 06:00:00"
2018-06-07,"ETH",607.31,610.3,606.69,609.58,1239912.11,607.33,598.26,606.72,606.94,572.81,590.4,761.07,669.84,771,0.595032059206497,600.13,"2018-06-07 07:00:00"
2018-06-07,"ETH",609.58,613.12,608,608.18,2444570.72,609.58,604.71,603.65,605.97,570.73,573.38,759.44,669.41,775,0.842105263157895,602,"2018-06-07 08:00:00"
2018-06-07,"ETH",608.18,611,606.25,609.64,1569947.85,608.18,607.08,601.01,608.89,571.86,566.04,742.33,658,810.12,0.783505154639175,602.4,"2018-06-07 09:00:00"
2018-06-07,"ETH",609.64,610.47,606.41,607.99,1189292.89,609.64,606.73,604.5,605.5,571.34,564.12,744.09,672.07,828.35,0.669514025164502,597,"2018-06-07 10:00:00"
2018-06-07,"ETH",607.99,609.1,607,607.6,986498.17,607.99,607.4,606.01,592.32,574.93,564.76,728.01,684.76,820.42,0.345963756177928,596.56,"2018-06-07 11:00:00"
2018-06-07,"ETH",607.4,615.15,606.59,615.15,1818454.91,607.6,610.83,605.09,622.54,560.55,588.64,762.97,703.5,765.6,1.41116734532385,608.06,"2018-06-07 12:00:00"
2018-06-07,"ETH",609.38,611.16,607.15,608.25,1178309.43,615.15,614.59,608.4,592.11,572.75,580.98,729.3,689.1,822,0.660462818084492,597.64,"2018-06-07 13:00:00"
2018-06-07,"ETH",608.25,609,602.57,606.32,2235092.37,608.25,612.69,607.81,585.44,574.98,586.98,733.14,710.29,822.81,1.06709593906101,596.2,"2018-06-07 14:00:00"
2018-06-07,"ETH",606.32,608.5,603.65,605.9,1629946.07,606.32,614.73,611.31,586.5,576.33,595.62,737.47,694.25,817,0.803445705292806,599.93,"2018-06-07 15:00:00"
2018-06-07,"ETH",605.9,611,604.27,611,1317643.1,605.9,611.45,596.11,584,574.97,583,732.92,681.39,799.46,1.11374054644447,601,"2018-06-07 16:00:00"
2018-06-07,"ETH",611,611.5,605.31,607.86,1383098.09,611,610.47,596.98,586.54,583.49,585.01,735.74,686.76,836.71,1.02261651054832,600.67,"2018-06-07 17:00:00"
2018-06-07,"ETH",607.86,609.61,606.6,607.25,903888.83,607.86,607.33,597.23,590.59,579.56,593.14,746,694.72,830.57,0.496208374546652,598.53,"2018-06-07 18:00:00"
2018-06-07,"ETH",607.25,607.95,606.12,606.52,586227.25,607.25,609.58,598.26,591.5,575.47,596.1,750.7,684.99,821.5,0.30192041179965,597.79,"2018-06-07 19:00:00"
2018-06-07,"ETH",606.52,607,598.24,603.5,2577402.96,606.52,608.18,604.71,597.11,580.99,589.77,740.74,693.88,822.06,1.46429526611393,598.79,"2018-06-07 20:00:00"
2018-06-07,"ETH",603.5,603.97,598.66,602.49,964956.93,603.5,609.64,607.08,598.87,584.05,586.85,747.49,694.24,814.99,0.886980924063752,599.71,"2018-06-07 21:00:00"
2018-06-07,"ETH",602.49,603.32,600.6,602.68,713327.15,602.49,607.99,606.73,592.5,572.75,594.95,753.41,710.49,787,0.452880452880457,601.62,"2018-06-07 22:00:00"
2018-06-07,"ETH",602.68,606,600.81,605.16,1072849.31,602.68,607.6,607.4,591.02,577.81,602.18,748.99,723.71,754,0.863833824337154,598.68,"2018-06-07 23:00:00"
2018-06-07,"ETH",607.6,611.13,607.1,609.38,968253.57,605.16,615.15,610.83,596.1,574.28,580,736.55,693.8,827.92,0.66381156316916,595.54,"2018-06-08 00:00:00"
2018-06-08,"ETH",608.06,608.39,604.3,606.21,1207773.48,609.38,608.25,614.59,595.5,578.6,600.69,742.5,739.63,781.66,0.676816150918423,605.51,"2018-06-08 01:00:00"
2018-06-08,"ETH",606.21,607.47,604.23,605.37,1410447.41,606.21,606.32,612.69,579.51,573,606.27,726.15,735.86,781.66,0.536219651457228,608.31,"2018-06-08 02:00:00"
2018-06-08,"ETH",605.37,606.46,601.25,601.25,1958898.53,605.37,605.9,614.73,582.16,573.47,602.2,719.71,728.65,781.66,0.866528066528073,606.13,"2018-06-08 03:00:00"
2018-06-08,"ETH",601.25,603.8,598.31,602.63,2175501.19,601.25,611,611.45,577.23,573.04,606,724.32,733.14,781.66,0.917584529758822,606.26,"2018-06-08 04:00:00"
2018-06-08,"ETH",602.63,604.35,602.03,604,739983.28,602.63,607.86,610.47,583.71,574.46,612.94,724,734.99,781.66,0.385362855671653,606.5,"2018-06-08 05:00:00"
2018-06-08,"ETH",604,606.4,602.78,606.31,866465.4,604,607.25,607.33,588.27,580.74,593.04,725,737.7,781.66,0.600550781379609,606.5,"2018-06-08 06:00:00"
2018-06-08,"ETH",606.31,606.65,600,600.13,1210723.55,606.31,606.52,609.58,586.4,583.11,593.25,718.22,729.19,781.66,1.10833333333333,604.98,"2018-06-08 07:00:00"
2018-06-08,"ETH",600.13,602.66,599.3,602,1196069.51,600.13,603.5,608.18,594.01,588.8,596.3,727.77,729.3,781.66,0.560654096445856,601.76,"2018-06-08 08:00:00"
